iter	Passed	Remaining
190	681	2887
191	687	2893
192	693	2901
193	696	2893
194	700	2893
195	706	2896
196	708	2888
197	711	2880
198	713	2872
199	722	2889
200	725	2882
201	728	2876
202	736	2893
203	742	2897
204	745	2889
205	750	2893
206	753	2886
207	759	2892
208	763	2888
209	766	2882
210	768	2874
211	772	2871
212	774	2863
213	778	2859
214	781	2853
215	784	2848
216	788	2846
217	791	2839
218	799	2852
219	802	2844
220	804	2836
221	807	2829
222	809	2819
223	814	2820
224	816	2810
225	817	2800
226	820	2793
227	828	2804
228	832	2801
229	834	2794
230	837	2787
231	839	2780
232	844	2779
233	848	2776
234	850	2769
235	853	2762
236	858	2763
237	864	2768
238	867	2763
239	870	2755
240	877	2763
241	880	2756
242	882	2749
243	885	2744
244	887	2735
245	893	2737
246	896	2731
247	898	2725
248	901	2718
249	907	2722
250	913	2727
251	916	2719
252	918	2713
253	922	2708
254	925	2704
255	928	2699
256	931	2693
257	937	2696
258	940	2690
259	942	2683
260	945	2677
261	948	2671
262	958	2685
263	960	2678
264	964	2674
265	971	2679
266	973	2673
267	977	2670
268	980	2663
269	985	2663
270	988	2658
271	990	2651
272	993	2646
273	995	2638
274	999	2635
275	1002	2631
276	1005	2624
277	1008	2619
278	1011	2613
279	1016	2613
280	1019	2607
281	1021	2601
282	1024	2596
283	1027	2591
284	1032	2589
285	1035	2584
286	1039	2581
287	1041	2575
288	1049	2581
289	1053	2578
290	1056	2574
291	1061	2574
292	1067	2575
293	1072	2575
294	1080	2581
295	1084	2578
296	1088	2576
297	1095	2580
298	1100	2579
299	1104	2577
300	1112	2583
301	1115	2578
302	1118	2572
303	1144	2619
304	1148	2618
305	1152	2612
306	1155	2607
307	1160	2607
308	1163	2601
309	1166	2595
310	1169	2591
311	1177	2597
312	1183	2597
313	1187	2593
314	1192	2592
315	1195	2588
316	1199	2583
317	1211	2598
318	1214	2592
319	1228	2609
320	1238	2620
321	1247	2627
322	1258	2636
323	1262	2633
324	1266	2629
325	1272	2631
326	1275	2624
327	1278	2618
328	1282	2615
329	1289	2617
330	1293	2613
331	1295	2607
332	1298	2600
333	1304	2601
334	1307	2596
335	1311	2590
336	1322	2601
337	1327	2599
338	1332	2598
339	1335	2591
340	1338	2586
341	1340	2579
342	1343	2573
343	1347	2569
344	1350	2564
345	1354	2559
346	1366	2572
347	1370	2567
348	1373	2561
349	1380	2563
350	1384	2559
351	1388	2556
352	1394	2555
353	1397	2550
354	1399	2543
355	1402	2536
356	1414	2546
357	1416	2541
358	1419	2534
359	1424	2531
360	1428	2528
361	1431	2522
362	1434	2517
363	1440	2517
364	1444	2513
365	1447	2508
366	1450	2502
367	1454	2498
368	1458	2494
369	1461	2489
370	1467	2488
371	1473	2488
372	1477	2482
373	1480	2478
374	1484	2473
375	1487	2469
376	1494	2468
377	1496	2462
378	1500	2458
379	1506	2458
380	1510	2453
381	1515	2450
382	1521	2450
383	1523	2444
384	1526	2438
385	1529	2432
386	1537	2435
387	1542	2433
388	1545	2428
389	1548	2422
390	1554	2421
391	1557	2416
392	1560	2410
393	1562	2403
394	1567	2400
395	1571	2396
396	1576	2394
397	1579	2388
398	1585	2388
399	1589	2383
400	1591	2377
401	1595	2373
402	1610	2386
403	1616	2384
404	1621	2382
405	1625	2378
406	1630	2375
407	1634	2371
408	1641	2371
409	1644	2366
410	1651	2366
411	1654	2360
412	1657	2355
413	1659	2349
414	1667	2350
415	1669	2344
416	1672	2338
417	1682	2342
418	1685	2337
419	1688	2331
420	1691	2326
421	1697	2324
422	1700	2319
423	1702	2313
424	1705	2307
425	1709	2302
426	1714	2300
427	1717	2294
428	1719	2288
429	1722	2283
430	1727	2280
431	1730	2274
432	1732	2269
433	1735	2263
434	1738	2257
435	1742	2254
436	1745	2248
437	1748	2243
438	1751	2238
439	1754	2232
440	1759	2230
441	1763	2226
442	1767	2221
443	1770	2217
444	1775	2214
445	1778	2209
446	1781	2203
447	1783	2197
448	1786	2192
449	1791	2190
450	1794	2184
451	1796	2178
452	1799	2172
453	1802	2167
454	1806	2164
455	1810	2160
456	1813	2155
457	1816	2149
458	1821	2146
459	1824	2141
460	1826	2135
461	1829	2130
462	1832	2125
463	1834	2119
464	1838	2115
465	1841	2109
466	1843	2104
467	1846	2099
468	1849	2093
469	1852	2089
470	1855	2083
471	1857	2078
472	1860	2072
473	1863	2067
474	1865	2061
475	1869	2057
476	1872	2052
477	1874	2047
478	1877	2041
479	1880	2036
480	1883	2032
481	1886	2027
482	1889	2022
483	1892	2017
484	1894	2012
485	1898	2008
486	1901	2003
487	1904	1997
488	1906	1992
489	1909	1987
490	1912	1982
491	1915	1977
492	1918	1972
493	1920	1967
494	1922	1961
495	1924	1955
496	1926	1949
497	1929	1945
498	1932	1940
499	1934	1934
500	1938	1930
501	1941	1926
502	1945	1922
503	1948	1917
504	1950	1911
505	1951	1905
506	1953	1899
507	1955	1893
508	1957	1888
509	1960	1883
510	1962	1877
511	1964	1871
512	1966	1866
513	1967	1860
514	1969	1854
515	1971	1849
516	1974	1844
517	1976	1839
518	1978	1833
519	1979	1827
520	1981	1821
521	1983	1816
522	1985	1811
523	1987	1805
524	1990	1801
525	1992	1795
526	1994	1790
527	1996	1784
528	1998	1778
529	1999	1773
530	2001	1767
531	2003	1762
532	2006	1757
533	2008	1752
534	2009	1746
535	2011	1741
536	2013	1736
537	2015	1730
538	2017	1725
539	2020	1720
540	2022	1716
541	2025	1711
542	2028	1706
543	2029	1701
544	2031	1696
545	2033	1690
546	2036	1686
547	2038	1681
548	2040	1676
549	2041	1670
550	2043	1665
551	2045	1660
552	2047	1654
553	2049	1649
554	2052	1645
555	2053	1640
556	2055	1635
557	2057	1629
558	2059	1624
559	2061	1619
560	2062	1614
561	2066	1610
562	2070	1607
563	2072	1602
564	2075	1598
565	2078	1593
566	2080	1588
567	2083	1584
568	2085	1579
569	2086	1574
570	2088	1569
571	2090	1563
572	2092	1559
573	2094	1554
574	2097	1550
575	2100	1545
576	2104	1542
577	2107	1538
578	2109	1533
579	2111	1529
580	2114	1525
581	2117	1520
582	2119	1516
583	2121	1511
584	2123	1506
585	2125	1501
586	2128	1497
587	2130	1492
588	2131	1487
589	2133	1482
590	2135	1477
591	2137	1473
592	2139	1468
593	2140	1463
594	2144	1459
595	2146	1454
596	2148	1450
597	2149	1445
598	2151	1440
599	2153	1435
600	2155	1430
601	2159	1427
602	2161	1423
603	2163	1418
604	2166	1414
605	2169	1410
606	2170	1405
607	2173	1401
608	2175	1396
609	2177	1392
610	2179	1387
611	2181	1383
612	2183	1378
613	2185	1373
614	2187	1369
615	2190	1365
616	2191	1360
617	2193	1356
618	2195	1351
619	2197	1347
620	2199	1342
621	2201	1337
622	2206	1335
623	2209	1331
624	2211	1327
625	2214	1323
626	2216	1318
627	2218	1314
628	2221	1310
629	2224	1306
630	2226	1302
631	2228	1297
632	2229	1292
633	2231	1288
634	2233	1283
635	2237	1280
636	2240	1276
637	2243	1272
638	2245	1268
639	2247	1264
640	2250	1260
641	2253	1256
642	2255	1252
643	2258	1248
644	2260	1244
645	2262	1239
646	2264	1235
647	2268	1232
648	2271	1228
649	2273	1224
650	2274	1219
651	2276	1215
652	2278	1210
653	2280	1206
654	2283	1202
655	2284	1198
656	2286	1193
657	2288	1189
658	2290	1185
659	2292	1180
660	2294	1176
661	2297	1173
662	2299	1168
663	2301	1164
664	2303	1160
665	2304	1155
666	2306	1151
667	2308	1147
668	2310	1143
669	2314	1140
670	2317	1136
671	2320	1132
672	2322	1128
673	2324	1124
674	2326	1120
675	2328	1116
676	2330	1112
677	2332	1107
678	2334	1103
679	2335	1099
680	2337	1094
681	2340	1091
682	2344	1088
683	2346	1084
684	2348	1079
685	2350	1075
686	2351	1071
687	2353	1067
688	2355	1063
689	2358	1059
690	2360	1055
691	2362	1051
692	2364	1047
693	2366	1043
694	2368	1039
695	2369	1035
696	2371	1030
697	2374	1027
698	2376	1023
699	2378	1019
700	2380	1015
701	2382	1011
702	2384	1007
703	2385	1003
704	2388	999
705	2390	995
706	2392	991
707	2394	987
708	2396	983
709	2398	979
710	2399	975
711	2401	971
712	2405	968
713	2407	964
714	2410	960
715	2413	957
716	2414	953
717	2416	949
718	2418	945
719	2421	941
720	2423	937
721	2425	934
722	2427	930
723	2429	926
724	2431	922
725	2432	918
726	2435	914
727	2437	910
728	2439	906
729	2441	902
730	2443	899
731	2445	895
732	2446	891
733	2450	888
734	2452	884
735	2454	880
736	2455	876
737	2457	872
738	2459	868
739	2461	864
740	2462	860
741	2466	857
742	2468	853
743	2470	850
744	2474	846
745	2476	843
746	2478	839
747	2481	835
748	2483	832
749	2485	828
750	2487	824
751	2489	821
752	2492	817
753	2494	813
754	2498	810
755	2500	807
756	2503	803
757	2505	799
758	2506	795
759	2508	792
760	2510	788
761	2513	784
762	2514	781
763	2516	777
764	2518	773
765	2519	769
766	2521	766
767	2523	762
768	2525	758
769	2528	755
770	2530	751
771	2532	747
772	2533	744
773	2535	740
774	2537	736
775	2539	733
776	2542	729
777	2544	725
778	2545	722
779	2547	718
780	2550	715
781	2551	711
782	2553	707
783	2555	704
784	2558	700
785	2560	697
786	2562	693
787	2563	689
788	2565	686
789	2568	682
790	2571	679
791	2575	676
792	2576	672
793	2578	669
794	2580	665
795	2582	661
796	2586	658
797	2588	655
798	2591	651
799	2594	648
800	2596	645
801	2599	641
802	2601	638
803	2603	634
804	2605	631
805	2607	627
806	2608	623
807	2610	620
808	2612	616
809	2615	613
810	2617	610
811	2620	606
812	2621	603
813	2623	599
814	2625	595
815	2627	592
816	2630	589
817	2633	585
818	2635	582
819	2638	579
820	2640	575
821	2642	572
822	2644	568
823	2647	565
824	2649	561
825	2651	558
826	2653	554
827	2654	551
828	2656	547
829	2658	544
830	2661	541
831	2663	537
832	2665	534
833	2667	530
834	2669	527
835	2670	523
836	2672	520
837	2674	517
838	2678	513
839	2679	510
840	2681	506
841	2683	503
842	2685	500
843	2687	496
844	2689	493
845	2692	490
846	2694	486
847	2697	483
848	2700	480
849	2702	476
850	2703	473
851	2705	469
852	2708	466
853	2711	463
854	2713	460
855	2716	456
856	2724	454
857	2727	451
858	2730	448
859	2731	444
860	2733	441
861	2735	437
862	2736	434
863	2740	431
864	2742	428
865	2744	424
866	2746	421
867	2748	417
868	2750	414
869	2752	411
870	2755	408
871	2757	404
872	2758	401
873	2760	397
874	2762	394
875	2764	391
876	2765	387
877	2767	384
878	2770	381
879	2772	378
880	2774	374
881	2776	371
882	2778	368
883	2779	364
884	2781	361
885	2783	358
886	2786	355
887	2789	351
888	2791	348
889	2793	345
890	2795	342
891	2797	338
892	2801	335
893	2802	332
894	2805	329
895	2806	325
896	2808	322
897	2811	319
898	2813	316
899	2816	312
900	2818	309
901	2820	306
902	2822	303
903	2823	299
904	2825	296
905	2827	293
906	2829	290
907	2832	286
908	2833	283
909	2835	280
910	2837	277
911	2839	273
912	2841	270
913	2842	267
914	2844	264
915	2847	261
916	2849	257
917	2851	254
918	2853	251
919	2854	248
920	2857	245
921	2861	242
922	2863	238
923	2865	235
924	2867	232
925	2869	229
926	2871	226
927	2872	222
928	2875	219
929	2878	216
930	2880	213
931	2883	210
932	2886	207
933	2888	204
934	2890	200
935	2893	197
936	2896	194
937	2898	191
938	2900	188
939	2902	185
940	2903	182
941	2905	178
942	2908	175
943	2910	172
944	2912	169
945	2914	166
946	2915	163
947	2917	160
948	2919	156
949	2921	153
950	2923	150
951	2925	147
952	2927	144
953	2929	141
954	2931	138
955	2933	135
956	2935	131
957	2938	128
958	2940	125
959	2942	122
960	2944	119
961	2945	116
962	2947	113
963	2949	110
964	2951	107
965	2954	103
966	2956	100
967	2958	97
968	2959	94
969	2961	91
970	2963	88
971	2965	85
972	2967	82
973	2970	79
974	2972	76
975	2975	73
976	2977	70
977	2978	67
978	2980	63
979	2984	60
980	2988	57
981	2989	54
982	2991	51
983	2994	48
984	2995	45
985	2999	42
986	3001	39
987	3003	36
988	3004	33
989	3006	30
990	3008	27
991	3009	24
992	3011	21
993	3014	18
994	3016	15
995	3018	12
996	3020	9
997	3022	6
998	3024	3
999	3025	0
