iter	RMSE
146	3.2606522
147	3.255139257
148	3.251883957
149	3.246230931
150	3.241878773
151	3.235209489
152	3.228360305
153	3.223646696
154	3.217349271
155	3.213084106
156	3.206813058
157	3.200791031
158	3.19275959
159	3.187034893
160	3.182945787
161	3.177043113
162	3.17338194
163	3.170541704
164	3.164709885
165	3.162220524
166	3.156757439
167	3.153271443
168	3.145526521
169	3.140861521
170	3.138755905
171	3.132875786
172	3.128006196
173	3.125015162
174	3.119635352
175	3.110553719
176	3.105777091
177	3.100593128
178	3.096860209
179	3.09071827
180	3.086190023
181	3.07996867
182	3.077541045
183	3.07332309
184	3.07032995
185	3.063768004
186	3.061324977
187	3.058486124
188	3.05406263
189	3.050684767
190	3.043304307
191	3.037048812
192	3.03361591
193	3.029345845
194	3.022581048
195	3.018344779
196	3.009554997
197	3.00801867
198	3.004146549
199	3.001566157
200	2.993532102
201	2.988452755
202	2.98599968
203	2.98204442
204	2.975714177
205	2.972365567
206	2.968909949
207	2.966792076
208	2.963865056
209	2.958733304
210	2.957397746
211	2.953435404
212	2.948902388
213	2.946186367
214	2.942914106
215	2.938952767
216	2.932083214
217	2.929056399
218	2.926469823
219	2.924041009
220	2.921401512
221	2.912930116
222	2.911092699
223	2.908429627
224	2.90528166
225	2.902373146
226	2.896596567
227	2.892262794
228	2.887780073
229	2.879512289
230	2.872589847
231	2.871130634
232	2.865274605
233	2.86345071
234	2.859560194
235	2.853796425
236	2.84886147
237	2.845505528
238	2.841478828
239	2.836342192
240	2.834672107
241	2.833482707
242	2.828895514
243	2.826673586
244	2.822906167
245	2.817353687
246	2.810272233
247	2.805522093
248	2.801111222
249	2.79636259
250	2.793011103
251	2.791745026
252	2.786703204
253	2.781589045
254	2.778350861
255	2.773330267
256	2.770946387
257	2.767724779
258	2.763675554
259	2.761605361
260	2.755949368
261	2.752310192
262	2.746382171
263	2.742987287
264	2.739651501
265	2.734224144
266	2.730707057
267	2.726621156
268	2.725505701
269	2.720531554
270	2.715292236
271	2.714316433
272	2.71022637
273	2.706760884
274	2.703395541
275	2.697525508
276	2.693851461
277	2.692323714
278	2.69089816
279	2.68579127
280	2.681357192
281	2.679648043
282	2.677316777
283	2.674124686
284	2.671378039
285	2.669289629
286	2.666119128
287	2.663093398
288	2.66032494
289	2.657107994
290	2.653654642
291	2.650386686
292	2.646371463
293	2.645302841
294	2.641726153
295	2.639528678
296	2.635805302
297	2.633966343
298	2.630918887
299	2.627534233
300	2.624880324
301	2.622330716
302	2.621479967
303	2.620686074
304	2.617885365
305	2.613281703
306	2.61059058
307	2.608065441
308	2.605184557
309	2.602504839
310	2.59878493
311	2.595547982
312	2.592792986
313	2.590387251
314	2.587902262
315	2.585677531
316	2.581719909
317	2.579570418
318	2.57789907
319	2.57361574
320	2.572109469
321	2.570246477
322	2.568264749
323	2.565849718
324	2.563910332
325	2.559962653
326	2.557306815
327	2.553814968
328	2.551645792
329	2.549376387
330	2.548032424
331	2.543432077
332	2.541586721
333	2.537505986
334	2.534605037
335	2.531019415
336	2.528322749
337	2.526446214
338	2.524733893
339	2.523951494
340	2.522129229
341	2.519968966
342	2.516687545
343	2.513909124
344	2.51138152
345	2.507654334
346	2.505820687
347	2.503022717
348	2.500074834
349	2.497849071
350	2.495702376
351	2.49432839
352	2.491073097
353	2.488381524
354	2.487264783
355	2.484895227
356	2.483721831
357	2.482940549
358	2.480537688
359	2.477206844
360	2.476397319
361	2.474064332
362	2.471346937
363	2.468958801
364	2.466762511
365	2.46283034
366	2.461386533
367	2.45873105
368	2.456011874
369	2.452679864
370	2.45027311
371	2.449025342
372	2.445730525
373	2.443530687
374	2.440709009
375	2.437620986
376	2.43500126
377	2.434155274
378	2.430919208
379	2.430010098
380	2.428042594
381	2.424871978
382	2.423506899
383	2.421167641
384	2.418713817
385	2.415570841
386	2.413794612
387	2.412185149
388	2.410868011
389	2.409152932
390	2.406651791
391	2.403994293
392	2.401056004
393	2.398381476
394	2.397700712
395	2.396195027
396	2.39493074
397	2.393919447
398	2.391307301
399	2.388551612
400	2.385613979
401	2.383352363
402	2.380961479
403	2.377851644
404	2.37656288
405	2.374746184
406	2.372097197
407	2.370166277
408	2.368357707
409	2.367580896
410	2.366398921
411	2.364979716
412	2.363411538
413	2.361368093
414	2.360295973
415	2.357389318
416	2.355276056
417	2.353574912
418	2.352593456
419	2.351511431
420	2.349362683
421	2.348420395
422	2.346702912
423	2.343872038
424	2.342215255
425	2.33985731
426	2.338732743
427	2.338245476
428	2.336999
429	2.335330972
430	2.333108312
431	2.331680468
432	2.330504978
433	2.328476912
434	2.327581231
435	2.325737701
436	2.323569904
437	2.321277258
438	2.319251935
439	2.318325542
440	2.316071943
441	2.314613694
442	2.311824572
443	2.309501522
444	2.308853138
445	2.306213893
446	2.30430449
447	2.302170063
448	2.300565254
449	2.299800395
450	2.298939192
451	2.296546699
452	2.294024676
453	2.29265961
454	2.291806587
455	2.289562121
456	2.288398853
457	2.286341732
458	2.283930088
459	2.282221185
460	2.280367495
461	2.27892532
462	2.278179231
463	2.277061199
464	2.275215824
465	2.274233335
466	2.272725854
467	2.271935974
468	2.269790096
469	2.269187294
470	2.266342173
471	2.265749185
472	2.264340076
473	2.262886691
474	2.262272466
475	2.259668478
476	2.258178115
477	2.257534713
478	2.25710312
479	2.255049646
480	2.254032525
481	2.253272301
482	2.252534617
483	2.250156891
484	2.24741704
485	2.245813559
486	2.245168381
487	2.243663098
488	2.241471853
489	2.240500607
490	2.239077472
491	2.237975563
492	2.237324591
493	2.236310175
494	2.235202277
495	2.23337768
496	2.232676227
497	2.230946971
498	2.229073568
499	2.227508167
500	2.226520447
501	2.223793858
502	2.222057439
503	2.221373771
504	2.220650259
505	2.218778642
506	2.217365585
507	2.215662756
508	2.214722868
509	2.213050812
510	2.212582465
511	2.211886367
512	2.209690908
513	2.209188717
514	2.208260209
515	2.20670027
516	2.206055402
517	2.205382961
518	2.203398817
519	2.201706577
520	2.199378345
521	2.197865186
522	2.196073133
523	2.19513257
524	2.194261965
525	2.193400912
526	2.19163744
527	2.189437798
528	2.187736563
529	2.186528885
530	2.185547641
531	2.184038978
532	2.183279305
533	2.18152653
534	2.178759462
535	2.178172318
536	2.177178321
537	2.175561145
538	2.174673096
539	2.173396424
540	2.172171768
541	2.170571786
542	2.169219728
543	2.167717093
544	2.167309853
545	2.164790153
546	2.162764836
547	2.162386996
548	2.160501882
549	2.158684811
550	2.158028647
551	2.157630226
552	2.156038357
553	2.155248106
554	2.153436901
555	2.151503288
556	2.150604171
557	2.148307976
558	2.147720116
559	2.145985468
560	2.145140478
561	2.143508128
562	2.14165003
563	2.140044999
564	2.138915313
565	2.138028839
566	2.136691728
567	2.135978598
568	2.133110368
569	2.131249431
570	2.13021245
571	2.129569392
572	2.127946977
573	2.127146405
574	2.125464509
575	2.124830813
576	2.124371183
577	2.123234575
578	2.121666675
579	2.120686928
580	2.12022476
581	2.119254214
582	2.117403177
583	2.116070963
584	2.115480092
585	2.113724132
586	2.112481272
587	2.111773933
588	2.110460933
589	2.108813003
590	2.106862902
591	2.105096093
592	2.103322552
593	2.102369667
594	2.101243402
595	2.099515094
596	2.097676102
597	2.095932669
598	2.094320553
599	2.093777869
600	2.092193778
601	2.090525868
602	2.089866166
603	2.088826938
604	2.086914851
605	2.085472256
606	2.08426217
607	2.083620642
608	2.082455268
609	2.081005514
610	2.080207997
611	2.078291746
612	2.077974437
613	2.076717526
614	2.075528459
615	2.075067492
616	2.073935568
617	2.073502973
618	2.072410429
619	2.071264536
620	2.070284919
621	2.069563844
622	2.068772239
623	2.067389763
624	2.065866217
625	2.064741545
626	2.062951924
627	2.06106068
628	2.059334064
629	2.058253535
630	2.057605743
631	2.056042446
632	2.054686496
633	2.053476078
634	2.052489013
635	2.052134158
636	2.05097529
637	2.049247145
638	2.048857042
639	2.048252692
640	2.046718744
641	2.04602777
642	2.044615445
643	2.043536393
644	2.042402497
645	2.041726849
646	2.040657107
647	2.038050796
648	2.036898542
649	2.03613454
650	2.034266131
651	2.033562223
652	2.0325639
653	2.032360919
654	2.030898458
655	2.030392724
656	2.028948681
657	2.027377462
658	2.025686729
659	2.025045557
660	2.024070141
661	2.021957491
662	2.020337513
663	2.018960013
664	2.01746852
665	2.016972803
666	2.015272526
667	2.013647492
668	2.012049127
669	2.011215795
670	2.009711104
671	2.009058148
672	2.008611104
673	2.007992522
674	2.007509266
675	2.007187429
676	2.006242395
677	2.005814009
678	2.00511234
679	2.004537631
680	2.002797608
681	2.000986525
682	1.999331962
683	1.998152894
684	1.99726869
685	1.996395217
686	1.995064386
687	1.994821864
688	1.994174189
689	1.993215108
690	1.992722438
691	1.991656013
692	1.991192722
693	1.990745497
694	1.989294263
695	1.988540638
696	1.987801064
697	1.98646542
698	1.985995625
699	1.984567333
700	1.983014924
701	1.982560908
702	1.981517479
703	1.979978357
704	1.97943704
705	1.978710274
706	1.978245981
707	1.977066943
708	1.976496158
709	1.975089555
710	1.973827053
711	1.973183311
712	1.972358012
713	1.971917838
714	1.971333615
715	1.970769428
716	1.970444091
717	1.969836773
718	1.969212967
719	1.968706725
720	1.968056788
721	1.966546287
722	1.965716443
723	1.964812881
724	1.963167848
725	1.961201447
726	1.960652409
727	1.959474884
728	1.958161639
729	1.957388012
730	1.956862398
731	1.956318661
732	1.955580237
733	1.953584734
734	1.951294948
735	1.950613703
736	1.949386639
737	1.948072451
738	1.94708213
739	1.946338866
740	1.94565926
741	1.944556809
742	1.944312462
743	1.943000053
744	1.942069526
745	1.941725338
746	1.940353445
747	1.938907345
748	1.938353205
749	1.93708124
750	1.935819608
751	1.935204306
752	1.933960089
753	1.932929036
754	1.930917652
755	1.929579215
756	1.928617013
757	1.92761229
758	1.926481674
759	1.925357652
760	1.92388185
761	1.923104961
762	1.922432007
763	1.921685573
764	1.92130673
765	1.921077055
766	1.920605499
767	1.920103012
768	1.919638023
769	1.919149048
770	1.917519285
771	1.916998773
772	1.91525214
773	1.914760991
774	1.913898185
775	1.912913688
776	1.911961668
777	1.911651853
778	1.910927564
779	1.910486732
780	1.909655352
781	1.908434276
782	1.907087965
783	1.906736479
784	1.906197768
785	1.905457599
786	1.905121739
787	1.904008995
788	1.9035186
789	1.90232326
790	1.901897869
791	1.901185623
792	1.900502348
793	1.899828508
794	1.898542239
795	1.89713565
796	1.895631451
797	1.893972908
798	1.893236224
799	1.892605331
800	1.89218523
801	1.89184831
802	1.891008576
803	1.8907969
804	1.889279256
805	1.888934725
806	1.888594155
807	1.887050134
808	1.886085508
809	1.885004059
810	1.884778774
811	1.88365156
812	1.883404967
813	1.882415465
814	1.881609243
815	1.881115432
816	1.880532238
817	1.879182623
818	1.878614293
819	1.878221437
820	1.876930071
821	1.876158894
822	1.87573263
823	1.874409226
824	1.874075233
825	1.87322
826	1.87142903
827	1.869845428
828	1.869610509
829	1.86852659
830	1.868118427
831	1.866853261
832	1.866617234
833	1.865755481
834	1.865278114
835	1.864272032
836	1.862379038
837	1.861961783
838	1.860762409
839	1.860462571
840	1.859746567
841	1.85817314
842	1.857544965
843	1.85639184
844	1.85562847
845	1.855047025
846	1.853708964
847	1.853493539
848	1.852520348
849	1.852053294
850	1.850563497
851	1.849886121
852	1.84922823
853	1.847936265
854	1.846698966
855	1.846072354
856	1.845359351
857	1.844073453
858	1.843433781
859	1.84161749
860	1.841270099
861	1.840216851
862	1.838768064
863	1.837728186
864	1.837019742
865	1.835855261
866	1.834446386
867	1.833418878
868	1.833088683
869	1.832783438
870	1.83209539
871	1.830806655
872	1.830104237
873	1.828966316
874	1.827930652
875	1.82772081
876	1.826588537
877	1.82628972
878	1.82601716
879	1.824821518
880	1.823563787
881	1.822967401
882	1.821782014
883	1.821343803
884	1.820640298
885	1.819291039
886	1.818259788
887	1.81806354
888	1.816946029
889	1.815491042
890	1.814151517
891	1.813654957
892	1.812989451
893	1.812370773
894	1.811265286
895	1.809776646
896	1.808448513
897	1.807879938
898	1.807525688
899	1.806322143
900	1.804671004
901	1.804351833
902	1.80405812
903	1.80355057
904	1.803228911
905	1.802152608
906	1.801509242
907	1.799731248
908	1.798405461
909	1.79778968
910	1.796852692
911	1.796141314
912	1.795618508
913	1.794628194
914	1.793889503
915	1.793566739
916	1.793107484
917	1.792238421
918	1.791524295
919	1.791042097
920	1.790719647
921	1.78943052
922	1.789023202
923	1.787631316
924	1.787176049
925	1.786532853
926	1.785724509
927	1.785308503
928	1.784008803
929	1.783819442
930	1.783650616
931	1.782385825
932	1.781801758
933	1.78133896
934	1.78025985
935	1.779627916
936	1.778649239
937	1.777375748
938	1.777150549
939	1.776034794
940	1.775295294
941	1.774107008
942	1.773910745
943	1.773008897
944	1.772186626
945	1.770961841
946	1.770142363
947	1.769823231
948	1.769671594
949	1.769434087
950	1.76786803
951	1.766429887
952	1.765517411
953	1.764185647
954	1.763848696
955	1.763465686
956	1.761852421
957	1.760796397
958	1.760100713
959	1.758853151
960	1.758183613
961	1.757521437
962	1.757155935
963	1.755791588
964	1.754622294
965	1.754081117
966	1.753301068
967	1.752570245
968	1.752126805
969	1.751773372
970	1.75067164
971	1.749563643
972	1.749346094
973	1.748723219
974	1.747745422
975	1.747460474
976	1.746691033
977	1.746262727
978	1.745064213
979	1.744006946
980	1.742996948
981	1.742025456
982	1.740921366
983	1.74002088
984	1.738896825
985	1.73826893
986	1.737728594
987	1.736486578
988	1.735476651
989	1.735161674
990	1.734473494
991	1.733505756
992	1.733110841
993	1.732030351
994	1.731735758
995	1.731379512
996	1.731096579
997	1.730381751
998	1.730025536
999	1.729290066
